title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Census 2001 Output Area Classification,2jr8m,The 2001 Area Classification of output areas is used to group together geographic areas according to key characteristics common to the population in that...,"The 2001 Area Classification of output areas is used to group together geographic areas according to key characteristics common to the population in that grouping. These groupings are called clusters, and are derived using 2001 population census data. This is a new classification produced using the same principles but a different statistical methodology from that used to produce the other area classifications. This data package presents the data for the 24,140 Census Output Areas in Greater London but data for the UK is also available (see Download URL below). For further guidance, advice and to see case studies using the 2001 OAC data, visit the OAC User Groups website: http://areaclassification.org.uk/ If you have any queries about or problems accessing any of the data please let Leeds U",Demographics,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/2jr8m,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, HTML, SPREADSHEET",UNKNOWN,2001-01 to 2001-12,Output Area,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"census, population, demography, geodemographics",snowflake,Medium,Topics: demographics. Last updated: 2014-07-04.
Census 2001 Key Statistics 18: Tenure,2km8d,Census Key Statistics Table KS18: Tenure,Census Key Statistics Table KS18: Tenure,Demographics,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/2km8d,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, HTML",UNKNOWN,2001-01 to 2001-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"census, demography, tenure, population, housing",snowflake,Medium,"Topics: demographics, housing. Last updated: 2014-07-04."
Census 2001 Key Statistics 21: Long Term Illness,e684z,Census Key Statistics Table KS21: Households with limiting long-term illness and dependent children. Note: * A dependent child is a person in a household...,Census Key Statistics Table KS21: Households with limiting long-term illness and dependent children. Note: * A dependent child is a person in a household aged 0 -15 (whether or not in a family) or a person aged 16 - 18 who is a full-time student in a family with parent(s). Cells in this table have been randomly adjusted to avoid the release of confidential data. Census day was 29 April 2001.,Demographics,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/e684z,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, HTML",UNKNOWN,2001-01 to 2001-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"census, health, demography, population, illness",snowflake,Medium,"Topics: demographics, health. Last updated: 2014-07-04."
Census 2001 Key Statistics 02: Age Structure,e58mw,Census Key Statistics Table KS02: Age Structure. 'Age' is age at last birthday. Cells in this table have been randomly adjusted to avoid the release of...,Census Key Statistics Table KS02: Age Structure. 'Age' is age at last birthday. Cells in this table have been randomly adjusted to avoid the release of confidential data. All data is © Crown Copyright 2003. Census day was 29 April 2001.,Demographics,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/e58mw,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, HTML",UNKNOWN,2001-01 to 2001-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"population, demography, census, age",snowflake,Medium,Topics: demographics. Last updated: 2014-07-04.
Census 2001 Key Statistics 03: Living Arrangements,exgpr,Census Key Statistics Table KS03: Living arrangements. The living arrangements variable is different to marital status. It combines information from both...,Census Key Statistics Table KS03: Living arrangements. The living arrangements variable is different to marital status. It combines information from both marital status and the relationship matrix. Therefore a person living as part of a 'cohabiting couple' could in fact be married (to someone else) but will not appear as married or separated in this classification. A person not living in a couple can be classified married (or re-married) if they denote their marital status as married (or re-married) but have no spouse or partner resident in the household. Cells in this table have been randomly adjusted to avoid the release of confidential data. All data is © Crown Copyright 2003. Census day was 29 April 2001.,Demographics,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/exgpr,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, HTML",UNKNOWN,2001-01 to 2001-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"demography, households, population, census",snowflake,Medium,"Topics: demographics, housing. Last updated: 2014-07-04."
Census 2001 Key Statistics 04: Marital Status,2l488,Census Key Statistics Table KS04: Marital status. Cells in this table have been randomly adjusted to avoid the release of confidential data. All data is ©...,Census Key Statistics Table KS04: Marital status. Cells in this table have been randomly adjusted to avoid the release of confidential data. All data is © Crown Copyright 2003. Census day was 29 April 2001.,Demographics,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/2l488,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, HTML",UNKNOWN,2001-01 to 2001-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"census, population, demography, marital-status",snowflake,Medium,Topics: demographics. Last updated: 2014-07-04.
Census 2001 Key Statistics 08: Health,2wz9y,Census Key Statistics Table KS08: Health and provision of unpaid care. Limiting long-term illness covers any long-term illness; health problem or disability...,Census Key Statistics Table KS08: Health and provision of unpaid care. Limiting long-term illness covers any long-term illness; health problem or disability which limits daily activities or work. Working age population is 16-64 inclusive for men and 16-59 inclusive for women. General health refers to health over the 12 months prior to Census day (29 April 2001). Provision of unpaid care: looking after; giving help or support to family members; friends; neighbours or others because of long-term physical or mental ill-health or disability or problems relating to old age. Cells in this table have been randomly adjusted to avoid the release of confidential data. All data is © Crown Copyright 2003. Census day was 29 April 2001.,Demographics,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/2wz9y,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, HTML",UNKNOWN,2001-01 to 2001-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"health, demography, population, census",snowflake,Medium,"Topics: demographics, health. Last updated: 2014-07-04."
Census 2001 Key Statistics 14: NS SeC,2zm0y,Census Key Statistics Table KS14: National Statistics Socio-economic Classification. For long-term unemployed year last worked is 1999 or earlier. In the...,Census Key Statistics Table KS14: National Statistics Socio-economic Classification. For long-term unemployed year last worked is 1999 or earlier. In the NS-SeC classification; all full time students are recorded in the 'full-time students' category regardless of whether they are economically active or not. 'Not classifiable for other reasons' includes people whose occupation has not been coded. Cells in this table have been randomly adjusted to avoid the release of confidential data. All data is © Crown Copyright 2003. Census day was 29 April 2001.,Demographics,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/2zm0y,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, HTML",UNKNOWN,2001-01 to 2001-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"census, demography, population",snowflake,Medium,Topics: demographics. Last updated: 2014-07-04.
Census 2001 Key Statistics 16: Household Spaces,2oj8d,Census Key Statistics Table KS16: Household spaces and accommodation type. Cells in this table have been randomly adjusted to avoid the release of...,Census Key Statistics Table KS16: Household spaces and accommodation type. Cells in this table have been randomly adjusted to avoid the release of confidential data. All data is © Crown Copyright 2003. Census day was 29 April 2001.,Demographics,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/2oj8d,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, HTML",UNKNOWN,2001-01 to 2001-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"demography, census, households, population",snowflake,Medium,"Topics: demographics, housing. Last updated: 2014-07-04."
Census 2001 Key Statistics 17: Cars and Vans,em98y,Census Key Statistics Table KS17: Cars or Vans. Includes any company car or van if available for private use. 'All cars or vans in the area' includes only...,Census Key Statistics Table KS17: Cars or Vans. Includes any company car or van if available for private use. 'All cars or vans in the area' includes only those cars and vans owned by; or available for use by; households This count is not exact as households with more than 10 or vans are counted as having 10 cars or vans. Cells in this table have been randomly adjusted to avoid the release of confidential data. All data is © Crown Copyright 2003. Census day was 29 April 2001.,Demographics,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/em98y,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, HTML",UNKNOWN,2001-01 to 2001-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"demography, travel, census, population, transport",snowflake,Medium,"Topics: demographics, transport. Last updated: 2014-07-04."
